SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km
CLUSTER_10,A,horse_man,1392.1999999999723,72.03630734519845
CLUSTER_10,A,pig_man,15.96929999999306,72.03630734519845
CLUSTER_108,A,cattle_man,372.3999999990563,43.48267892515856
CLUSTER_108,A,horse_man,2893.0,43.48267892515856
CLUSTER_108,A,pig_man,291.926,43.48267892515856
CLUSTER_114,A,pig_man,77.82100000000001,63.68139703530928
CLUSTER_119,A,pig_man,210.9,67.6339067480182
CLUSTER_134,A,cattle_man,8431.39999999935,29.285180508295625
CLUSTER_134,A,horse_man,721.52,29.285180508295625
CLUSTER_134,A,pig_man,1021.56,29.285180508295625
CLUSTER_139,A,cattle_man,3032.51,43.96898028522914
CLUSTER_139,A,horse_man,980.3,43.96898028522914
CLUSTER_139,A,pig_man,42.67,43.96898028522914
CLUSTER_148,A,cattle_man,4501.0,19.63048404359735
CLUSTER_148,A,cattle_slu,36150.0,19.63048404359735
CLUSTER_148,A,horse_man,500.77,19.63048404359735
CLUSTER_148,A,legume_str,71.2,19.63048404359735
CLUSTER_148,A,pig_man,361.14175,19.63048404359735
CLUSTER_148,A,rape_str,856.0,19.63048404359735
CLUSTER_153,A,cattle_man,5103.062,23.775410828272832
CLUSTER_153,A,cattle_slu,34327.0,23.775410828272832
CLUSTER_153,A,horse_man,1262.5,23.775410828272832
CLUSTER_153,A,legume_str,465.2,23.775410828272832
CLUSTER_153,A,pig_man,71.88691,23.775410828272832
CLUSTER_153,A,rape_str,2865.0,23.775410828272832
CLUSTER_154,A,cattle_man,5634.1,23.65698531937003
CLUSTER_154,A,cattle_slu,264.058,23.65698531937003
CLUSTER_154,A,horse_man,347.6,23.65698531937003
CLUSTER_154,A,pig_man,309.885,23.65698531937003
CLUSTER_156,A,horse_man,1144.7,62.271269966254266
CLUSTER_156,A,pig_man,137.8229,62.271269966254266
CLUSTER_158,A,horse_man,253.79999999999998,66.23329797771383
CLUSTER_16,A,cattle_man,11750.6,29.66074293948328
CLUSTER_16,A,horse_man,1532.4,29.66074293948328
CLUSTER_16,A,pig_man,563.7029,29.66074293948328
CLUSTER_160,A,cattle_man,5620.0,34.978176494634184
CLUSTER_160,A,horse_man,2174.2,34.978176494634184
CLUSTER_160,A,pig_man,238.759,34.978176494634184
CLUSTER_161,A,cattle_man,6850.0,49.97448363015407
CLUSTER_161,A,horse_man,429.62,49.97448363015407
CLUSTER_161,A,pig_man,1184.0,49.97448363015407
CLUSTER_164,A,horse_man,1264.0,64.1273386317853
CLUSTER_164,A,pig_man,46.635000000000005,64.1273386317853
CLUSTER_170,A,horse_man,782.0,68.41681826789632
CLUSTER_172,A,horse_man,2882.7,87.28422354521676
CLUSTER_173,A,pig_man,64.52416,66.93377979829805
CLUSTER_177,A,horse_man,285.4,49.918316795187806
CLUSTER_177,A,pig_man,779.21,49.918316795187806
CLUSTER_179,A,pig_man,63.56600000000001,63.59605159193063
CLUSTER_181,A,cattle_man,10934.199,22.478007255401888
CLUSTER_181,A,cattle_slu,14488.0,22.478007255401888
CLUSTER_181,A,horse_man,824.1,22.478007255401888
CLUSTER_181,A,legume_str,393.5,22.478007255401888
CLUSTER_181,A,pig_man,1482.4,22.478007255401888
CLUSTER_181,A,rape_str,425.5,22.478007255401888
CLUSTER_183,A,horse_man,2503.0,69.69165823661866
CLUSTER_183,A,pig_man,458.82,69.69165823661866
CLUSTER_194,A,cattle_man,4180.5,27.248081530647028
CLUSTER_194,A,cattle_slu,4298.8,27.248081530647028
CLUSTER_194,A,horse_man,974.4,27.248081530647028
CLUSTER_194,A,pig_man,308.943,27.248081530647028
CLUSTER_199,A,pig_man,341.399,61.3292109221677
CLUSTER_200,A,horse_man,797.9,57.92019798819157
CLUSTER_200,A,pig_man,508.565,57.92019798819157
CLUSTER_213,A,horse_man,642.2,75.66217311942643
CLUSTER_217,A,cattle_man,3099.0,49.45344633652268
CLUSTER_217,A,horse_man,1360.0,49.45344633652268
CLUSTER_217,A,pig_man,542.22,49.45344633652268
CLUSTER_221,A,pig_man,218.174,69.37629954996027
CLUSTER_222,A,cattle_man,794.6,40.27842078810764
CLUSTER_222,A,horse_man,643.3,40.27842078810764
CLUSTER_222,A,pig_man,43.141,40.27842078810764
CLUSTER_23,A,horse_man,1920.4,96.54183846912068
CLUSTER_232,A,cattle_man,9900.0,56.63756620938945
CLUSTER_232,A,horse_man,3168.0,56.63756620938945
CLUSTER_232,A,pig_man,245.34999999999997,56.63756620938945
CLUSTER_236,A,cattle_man,1177.4,45.2572792012248
CLUSTER_236,A,horse_man,1045.5,45.2572792012248
CLUSTER_236,A,pig_man,144.7,45.2572792012248
CLUSTER_238,A,pig_man,123.38,80.44200634865754
CLUSTER_24,A,cattle_man,15326.0,24.173224370921357
CLUSTER_24,A,cattle_slu,7552.1,24.173224370921357
CLUSTER_24,A,horse_man,1586.5,24.173224370921357
CLUSTER_24,A,pig_man,438.94,24.173224370921357
CLUSTER_242,A,cattle_man,11300.0,35.42453731350449
